action_id,title,description,control_id,system_id,action_type,priority,status,owner_name,owner_email,created_date,due_date,closed_date,estimated_hours,actual_hours,blocked_by,notes
ACT-B5BA4EA9,Review user access permissions,Action item for SI control remediation,RA-3,SYS-035,Training,Low,Closed,Alex Williams,alex.williams@company.com,2025-10-04,2026-01-26,2025-11-20,11,95,,
ACT-F49AF373,Implement encryption at rest,Action item for SA control remediation,PS-5,SYS-031,Documentation,High,In Progress,Taylor Chen,taylor.chen@company.com,2025-06-16,2026-01-31,,7,,,
ACT-FEF93EEA,Review vendor contracts,Action item for IR control remediation,SA-19,SYS-044,Review,Medium,Closed,Riley Kim,riley.kim@company.com,2025-08-08,2026-01-25,2025-12-10,70,30,,
ACT-3AC10167,Review user access permissions,Action item for CP control remediation,PS-18,SYS-016,Implementation,Critical,Cancelled,Cameron Garcia,cameron.garcia@company.com,2025-09-05,2026-02-03,,55,,,
ACT-760CFB71,Update access control policy,Action item for PM control remediation,SI-15,SYS-038,Review,Critical,Closed,Jordan Brown,jordan.brown@company.com,2025-07-30,2026-03-05,2025-12-08,29,83,,
ACT-E5649F3D,Configure backup retention,Action item for PS control remediation,AC-14,SYS-036,Remediation,Low,Closed,Quinn Williams,quinn.williams@company.com,2025-10-09,2026-02-27,2025-11-27,31,78,,
ACT-75F852E8,Document incident response procedure,Action item for SI control remediation,CP-9,SYS-014,Training,Critical,Cancelled,Morgan Williams,morgan.williams@company.com,2025-08-05,2026-01-29,,18,,,
ACT-FD5A09EF,Update firewall rules,Action item for AU control remediation,CM-12,SYS-023,Training,High,Open,Quinn Chen,quinn.chen@company.com,2025-06-30,2026-01-23,,67,,,
ACT-3D4D7DED,Update access control policy,Action item for AC control remediation,CM-5,SYS-007,Training,Medium,In Progress,Avery Martinez,avery.martinez@company.com,2025-08-30,2025-12-25,,77,,,
ACT-A65EDF02,Implement encryption at rest,Action item for SA control remediation,CA-1,SYS-038,Training,Low,Closed,Casey Williams,casey.williams@company.com,2025-10-09,2026-02-25,2025-12-01,41,25,,
ACT-E640DCBB,Configure backup retention,Action item for CM control remediation,MP-8,SYS-018,Remediation,Critical,Closed,Jordan Kim,jordan.kim@company.com,2025-08-28,2026-02-17,2025-12-03,68,67,,
ACT-822FA630,Review network segmentation,Action item for SI control remediation,MA-16,SYS-014,Implementation,High,In Progress,Avery Brown,avery.brown@company.com,2025-07-09,2026-02-05,,5,,,
ACT-82F95691,Implement multi-factor authentication,Action item for RA control remediation,PL-1,SYS-009,Training,Critical,Open,Taylor Patel,taylor.patel@company.com,2025-10-11,2025-12-14,,10,,,
ACT-DB835EE6,Update security training materials,Action item for AU control remediation,PE-3,SYS-022,Review,Critical,Closed,Jordan Chen,jordan.chen@company.com,2025-09-12,2026-02-19,2025-12-09,15,88,,
ACT-0DA9ED7F,Document incident response procedure,Action item for SC control remediation,SR-19,SYS-029,Training,Critical,In Progress,Morgan Chen,morgan.chen@company.com,2025-06-26,2025-12-14,,18,,,
ACT-EE31F2BA,Implement multi-factor authentication,Action item for PM control remediation,AU-16,SYS-025,Review,Medium,Open,Taylor Brown,taylor.brown@company.com,2025-08-29,2025-10-22,,7,,,
ACT-A70CFD42,Configure audit logging,Action item for MP control remediation,MP-5,SYS-021,Implementation,Low,Open,Avery Martinez,avery.martinez@company.com,2025-07-07,2026-01-31,,48,,,
ACT-0B398485,Implement multi-factor authentication,Action item for SR control remediation,AC-9,SYS-007,Training,Low,Closed,Alex Chen,alex.chen@company.com,2025-09-15,2026-03-01,2025-11-28,9,35,,
ACT-1BDCAB42,Implement encryption at rest,Action item for SC control remediation,SC-10,SYS-017,Remediation,Critical,Closed,Alex Williams,alex.williams@company.com,2025-07-09,2026-02-24,2025-11-22,73,93,,
ACT-9671B065,Configure audit logging,Action item for SC control remediation,SR-8,SYS-003,Implementation,Medium,Closed,Quinn Patel,quinn.patel@company.com,2025-10-07,2026-02-12,2025-11-20,16,17,,
ACT-787C56F4,Document recovery procedures,Action item for PL control remediation,PE-6,SYS-041,Documentation,Critical,Cancelled,Cameron Chen,cameron.chen@company.com,2025-07-06,2026-01-31,,27,,,
ACT-72EC5570,Update password policy,Action item for RA control remediation,CA-11,SYS-006,Documentation,High,Open,Riley Kim,riley.kim@company.com,2025-08-21,2025-12-13,,15,,,
ACT-6D85D0CC,Update firewall rules,Action item for CP control remediation,PM-6,SYS-008,Implementation,Medium,Open,Morgan Garcia,morgan.garcia@company.com,2025-07-28,2025-12-20,,50,,,
ACT-753837D1,Update firewall rules,Action item for MP control remediation,IR-18,SYS-004,Training,Low,Closed,Quinn Patel,quinn.patel@company.com,2025-10-08,2026-03-04,2025-11-25,79,87,,
ACT-949C9AEF,Review user access permissions,Action item for AU control remediation,AC-18,SYS-011,Training,Low,Open,Cameron Patel,cameron.patel@company.com,2025-09-27,2026-01-15,,6,,,
ACT-16659617,Update firewall rules,Action item for SI control remediation,CA-6,SYS-015,Implementation,Medium,Closed,Cameron Kim,cameron.kim@company.com,2025-10-08,2026-01-22,2025-11-15,54,64,,
ACT-0F116513,Update access control policy,Action item for SR control remediation,PL-5,SYS-031,Review,Low,Open,Avery Chen,avery.chen@company.com,2025-07-23,2025-11-20,,54,,,
ACT-C24C7322,Configure audit logging,Action item for PM control remediation,IR-1,SYS-004,Training,Medium,Closed,Alex Johnson,alex.johnson@company.com,2025-07-08,2026-03-08,2025-11-25,47,100,,
ACT-D8E8A3CA,Implement multi-factor authentication,Action item for SR control remediation,RA-19,SYS-013,Training,Medium,Cancelled,Taylor Johnson,taylor.johnson@company.com,2025-08-20,2026-03-05,,4,,,
ACT-68297502,Configure SIEM alerts,Action item for MA control remediation,SR-2,SYS-035,Training,Low,In Progress,Cameron Chen,cameron.chen@company.com,2025-07-14,2026-01-02,,21,,,
ACT-64B60898,Review user access permissions,Action item for PE control remediation,SA-9,SYS-021,Training,Critical,In Progress,Avery Chen,avery.chen@company.com,2025-09-18,2026-01-01,,70,,,
ACT-330B80BE,Update password policy,Action item for PE control remediation,CA-5,SYS-001,Remediation,High,Cancelled,Riley Martinez,riley.martinez@company.com,2025-08-05,2026-02-11,,57,,,
ACT-DD9D2987,Configure audit logging,Action item for IR control remediation,RA-11,SYS-010,Review,Medium,Open,Casey Brown,casey.brown@company.com,2025-10-21,2025-11-30,,66,,,
ACT-C07507D7,Update firewall rules,Action item for MA control remediation,SR-2,SYS-004,Documentation,Medium,Blocked,Taylor Kim,taylor.kim@company.com,2025-07-23,2026-02-04,,56,,ACT-B78C0564,
ACT-249ADB7E,Configure audit logging,Action item for PM control remediation,SC-7,SYS-014,Remediation,Low,Closed,Drew Williams,drew.williams@company.com,2025-10-05,2026-02-06,2025-12-09,56,77,,
ACT-A034091A,Review user access permissions,Action item for PS control remediation,PM-9,SYS-022,Implementation,Critical,Closed,Riley Rodriguez,riley.rodriguez@company.com,2025-09-07,2026-02-16,2025-12-05,37,40,,
ACT-7FE5EE06,Review network segmentation,Action item for PM control remediation,MP-11,SYS-004,Remediation,Medium,Open,Jordan Martinez,jordan.martinez@company.com,2025-10-05,2025-12-21,,17,,,
ACT-249744F6,Update security training materials,Action item for AC control remediation,MP-18,SYS-032,Documentation,Low,Blocked,Cameron Kim,cameron.kim@company.com,2025-10-12,2026-02-04,,10,,ACT-874BE9F5,
ACT-4FCF6C4A,Review vendor contracts,Action item for PM control remediation,PE-16,SYS-017,Review,Critical,Closed,Avery Johnson,avery.johnson@company.com,2025-11-10,2026-01-17,2025-11-16,70,33,,
ACT-36E63580,Implement multi-factor authentication,Action item for PS control remediation,MP-17,SYS-001,Documentation,High,Open,Quinn Davis,quinn.davis@company.com,2025-10-18,2025-11-10,,31,,,
ACT-805176B0,Document incident response procedure,Action item for IA control remediation,SC-4,SYS-022,Implementation,Critical,In Progress,Alex Brown,alex.brown@company.com,2025-10-22,2025-12-03,,63,,,
ACT-23D05B7F,Update access control policy,Action item for MA control remediation,PS-20,SYS-041,Training,Medium,Open,Taylor Johnson,taylor.johnson@company.com,2025-11-02,2026-01-30,,30,,,
ACT-405E7B72,Review network segmentation,Action item for PL control remediation,SR-5,SYS-003,Review,Low,In Progress,Alex Patel,alex.patel@company.com,2025-06-23,2025-11-29,,4,,,
ACT-6DAC63C5,Update password policy,Action item for PL control remediation,PS-5,SYS-042,Training,Critical,Closed,Taylor Garcia,taylor.garcia@company.com,2025-07-22,2026-02-09,2025-11-18,80,43,,
ACT-7B5228C2,Implement multi-factor authentication,Action item for CA control remediation,SA-15,SYS-008,Review,Medium,In Progress,Drew Martinez,drew.martinez@company.com,2025-09-23,2025-12-24,,60,,,
ACT-88995613,Implement encryption at rest,Action item for MA control remediation,PS-7,SYS-050,Remediation,High,In Progress,Cameron Davis,cameron.davis@company.com,2025-10-09,2025-12-20,,38,,,
ACT-8A55523A,Review network segmentation,Action item for CA control remediation,AC-16,SYS-019,Remediation,High,In Progress,Taylor Johnson,taylor.johnson@company.com,2025-11-01,2025-11-15,,61,,,
ACT-332FFD19,Implement multi-factor authentication,Action item for AU control remediation,SR-14,SYS-013,Training,High,Cancelled,Drew Brown,drew.brown@company.com,2025-10-05,2026-02-25,,30,,,
ACT-4A7CF555,Update access control policy,Action item for CA control remediation,PS-19,SYS-028,Review,Critical,In Progress,Riley Brown,riley.brown@company.com,2025-10-01,2025-11-29,,19,,,
ACT-6EB27C2B,Update security training materials,Action item for MP control remediation,RA-2,SYS-012,Review,Medium,Open,Cameron Brown,cameron.brown@company.com,2025-11-01,2026-01-03,,15,,,
ACT-4F536D63,Document recovery procedures,Action item for CM control remediation,AT-6,SYS-018,Remediation,High,Closed,Taylor Kim,taylor.kim@company.com,2025-10-25,2026-01-10,2025-12-04,76,30,,
ACT-B6F314FB,Update access control policy,Action item for PE control remediation,IR-9,SYS-035,Review,Critical,Open,Casey Chen,casey.chen@company.com,2025-09-03,2026-01-13,,16,,,
ACT-04D91ACD,Review user access permissions,Action item for PL control remediation,PE-4,SYS-016,Implementation,Critical,Closed,Cameron Davis,cameron.davis@company.com,2025-10-28,2026-02-09,2025-11-29,36,32,,
ACT-D54BD168,Update password policy,Action item for CP control remediation,PS-14,SYS-041,Implementation,Low,Open,Quinn Patel,quinn.patel@company.com,2025-08-29,2025-11-25,,20,,,
ACT-0DF61496,Implement data classification,Action item for PL control remediation,IR-20,SYS-009,Documentation,High,Blocked,Jordan Chen,jordan.chen@company.com,2025-08-02,2026-01-28,,31,,ACT-EFFF7CD5,
ACT-837B54B7,Configure backup retention,Action item for CA control remediation,CA-16,SYS-021,Implementation,Medium,Cancelled,Avery Chen,avery.chen@company.com,2025-09-07,2026-01-29,,7,,,
ACT-621F7AE0,Update security training materials,Action item for RA control remediation,IR-3,SYS-031,Remediation,Critical,Open,Morgan Garcia,morgan.garcia@company.com,2025-10-01,2025-12-14,,52,,,
ACT-F0CBE1FB,Update password policy,Action item for RA control remediation,CP-2,SYS-019,Training,Critical,In Progress,Drew Johnson,drew.johnson@company.com,2025-07-10,2025-12-27,,52,,,
ACT-6CBCF050,Review user access permissions,Action item for SA control remediation,IA-3,SYS-009,Documentation,Low,In Progress,Casey Garcia,casey.garcia@company.com,2025-09-13,2026-02-03,,37,,,
ACT-4933DDBF,Document incident response procedure,Action item for PE control remediation,PM-16,SYS-027,Documentation,High,In Progress,Cameron Garcia,cameron.garcia@company.com,2025-11-03,2026-01-24,,8,,,
ACT-34FE2001,Implement multi-factor authentication,Action item for CP control remediation,AT-13,SYS-022,Training,Low,Open,Quinn Kim,quinn.kim@company.com,2025-09-09,2025-11-08,,60,,,
ACT-0B449DD5,Configure backup retention,Action item for SA control remediation,PS-8,SYS-012,Remediation,Low,Open,Cameron Williams,cameron.williams@company.com,2025-07-15,2025-11-07,,59,,,
ACT-F9230C7F,Configure audit logging,Action item for CP control remediation,PM-4,SYS-046,Implementation,High,Closed,Alex Garcia,alex.garcia@company.com,2025-06-28,2026-03-01,2025-12-01,41,84,,
ACT-A74C9B9C,Configure SIEM alerts,Action item for PL control remediation,SC-16,SYS-043,Review,Low,Closed,Casey Williams,casey.williams@company.com,2025-10-08,2026-01-20,2025-11-22,27,71,,
ACT-DF5258A7,Update access control policy,Action item for MA control remediation,MA-19,SYS-027,Documentation,Low,Open,Alex Martinez,alex.martinez@company.com,2025-08-08,2025-10-12,,72,,,
ACT-4FD7A7F7,Review user access permissions,Action item for AC control remediation,CP-2,SYS-010,Review,Medium,Open,Avery Chen,avery.chen@company.com,2025-09-17,2025-11-08,,8,,,
ACT-23AF40D2,Update password policy,Action item for SI control remediation,IA-9,SYS-010,Remediation,High,Blocked,Taylor Martinez,taylor.martinez@company.com,2025-09-09,2025-10-19,,53,,ACT-8C4CAF0D,
ACT-7DB267B9,Document incident response procedure,Action item for SI control remediation,IR-20,SYS-018,Remediation,Medium,Closed,Riley Patel,riley.patel@company.com,2025-09-05,2026-03-03,2025-11-15,55,97,,
ACT-A4F5E59D,Implement data classification,Action item for PS control remediation,CA-4,SYS-015,Documentation,Critical,In Progress,Alex Chen,alex.chen@company.com,2025-09-26,2025-11-29,,77,,,
ACT-F214BB91,Update password policy,Action item for PE control remediation,PE-13,SYS-048,Documentation,Critical,In Progress,Casey Patel,casey.patel@company.com,2025-11-09,2025-11-07,,37,,,
ACT-E36C7478,Update security training materials,Action item for IA control remediation,PM-11,SYS-006,Review,High,Open,Jordan Martinez,jordan.martinez@company.com,2025-10-09,2025-10-23,,49,,,
ACT-8AF0E7BE,Document incident response procedure,Action item for AC control remediation,CM-10,SYS-015,Documentation,Medium,In Progress,Taylor Brown,taylor.brown@company.com,2025-07-27,2025-11-17,,76,,,
ACT-30EA6AFC,Update password policy,Action item for AU control remediation,PL-16,SYS-015,Documentation,Medium,Open,Quinn Brown,quinn.brown@company.com,2025-10-26,2026-01-12,,70,,,
ACT-90759B4F,Review vendor contracts,Action item for CM control remediation,IR-8,SYS-018,Implementation,High,Open,Drew Rodriguez,drew.rodriguez@company.com,2025-08-28,2026-02-03,,59,,,
ACT-B8BD7253,Implement multi-factor authentication,Action item for CP control remediation,SA-3,SYS-013,Training,Low,Closed,Morgan Rodriguez,morgan.rodriguez@company.com,2025-06-26,2026-02-14,2025-11-26,20,8,,
ACT-280A7789,Configure audit logging,Action item for CM control remediation,SR-15,SYS-021,Review,Critical,Open,Drew Williams,drew.williams@company.com,2025-08-06,2025-10-13,,37,,,
ACT-1C7AC8E4,Implement multi-factor authentication,Action item for AT control remediation,AU-17,SYS-008,Training,Low,Closed,Taylor Martinez,taylor.martinez@company.com,2025-08-24,2026-01-14,2025-11-27,19,44,,
ACT-93C1F574,Review network segmentation,Action item for CA control remediation,SR-5,SYS-032,Review,Critical,Open,Cameron Chen,cameron.chen@company.com,2025-09-11,2026-02-08,,36,,,
ACT-53309392,Configure backup retention,Action item for MA control remediation,CP-10,SYS-025,Documentation,High,Open,Drew Johnson,drew.johnson@company.com,2025-06-29,2025-10-20,,75,,,
ACT-9FEDC06E,Implement multi-factor authentication,Action item for CA control remediation,CA-15,SYS-015,Review,Low,Open,Cameron Johnson,cameron.johnson@company.com,2025-08-06,2026-01-04,,78,,,
ACT-89D6F9E0,Update password policy,Action item for SI control remediation,SR-10,SYS-048,Training,Low,Cancelled,Avery Garcia,avery.garcia@company.com,2025-09-18,2026-01-18,,9,,,
ACT-E226F9EC,Update firewall rules,Action item for SI control remediation,PE-16,SYS-017,Remediation,High,Closed,Taylor Kim,taylor.kim@company.com,2025-09-11,2026-02-24,2025-11-13,19,34,,
ACT-46771F57,Review vendor contracts,Action item for IA control remediation,IA-3,SYS-035,Documentation,Low,In Progress,Quinn Martinez,quinn.martinez@company.com,2025-06-19,2025-12-25,,13,,,
ACT-7A5CB07D,Review network segmentation,Action item for MA control remediation,PM-12,SYS-027,Review,Medium,In Progress,Taylor Kim,taylor.kim@company.com,2025-07-26,2025-11-22,,78,,,
